Date (yyyy-mm-dd),Max_temperature (°C),Min_temperature (°C),Rain (mm),Wind (km/h),Description,City
2023-03-08,21,9,34.9,4,Lluvias fuertes o moderadas,Medellín
2022-03-08,22,10,5.6,4,Ligeras precipitaciones,Medellín
2021-03-08,22,15,34.7,2,Lluvias fuertes o moderadas,Medellín
2020-03-08,21,11,22.1,5,Lluvias fuertes o moderadas,Medellín
2019-03-08,20,12,33.8,6,Lluvias torrenciales,Medellín
2024-03-09,28,13,7.1,7,Llovizna a intervalos,Medellín
2023-03-09,18,10,58.5,2,Lluvias fuertes o moderadas,Medellín
2022-03-09,25,14,1.3,5,Niebla moderada,Medellín
2021-03-09,22,11,46.0,3,Lluvias fuertes o moderadas,Medellín
2020-03-09,22,11,31.0,5,Lluvias torrenciales,Medellín
2019-03-09,21,13,22.0,6,Lluvias fuertes o moderadas,Medellín
2024-03-10,24,11,5.5,5,Ligeras precipitaciones,Medellín
2023-03-10,21,11,30.0,3,Lluvias fuertes o moderadas,Medellín
2022-03-10,22,10,3.0,4,Ligeras precipitaciones,Medellín
2021-03-10,21,11,37.3,2,Lluvias fuertes o moderadas,Medellín
2020-03-10,22,11,17.0,3,Lluvias fuertes o moderadas,Medellín
2019-03-10,20,12,44.2,6,Lluvias torrenciales,Medellín
2024-03-11,25,12,5.0,7,Ligeras precipitaciones,Medellín
2023-03-11,18,10,28.8,3,Ligeras precipitaciones,Medellín
2022-03-11,23,10,3.0,4,Lluvia moderada a intervalos,Medellín
2021-03-11,17,11,26.5,3,Lluvias fuertes o moderadas,Medellín
2020-03-11,20,12,34.5,2,Lluvias fuertes o moderadas,Medellín
2019-03-11,21,13,46.2,4,Lluvias torrenciales,Medellín
2024-03-12,27,12,4.9,7,Lluvia moderada a intervalos,Medellín
2023-03-12,19,10,42.2,3,Lluvias fuertes o moderadas,Medellín
2022-03-12,25,11,2.1,4,Lluvia moderada a intervalos,Medellín
2021-03-12,16,5,34.5,3,Lluvia moderada,Medellín
2020-03-12,20,12,30.7,2,Lluvias fuertes o moderadas,Medellín
2019-03-12,21,12,45.3,5,Lluvias torrenciales,Medellín
2024-03-13,26,12,5.0,6,Ligeras precipitaciones,Medellín
2023-03-13,17,10,34.4,3,Ligeras precipitaciones,Medellín
2022-03-13,21,10,4.1,3,Ligeras precipitaciones,Medellín
2021-03-13,19,9,20.1,2,Lluvias fuertes o moderadas,Medellín
2020-03-13,24,12,28.4,3,Lluvias fuertes o moderadas,Medellín
2019-03-13,22,13,13.2,5,Lluvias fuertes o moderadas,Medellín
2024-03-14,27,11,14.5,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-03-14,24,10,16.0,2,Ligeras precipitaciones,Medellín
2022-03-14,21,11,3.2,4,Ligeras precipitaciones,Medellín
2021-03-14,20,11,37.5,3,Lluvias fuertes o moderadas,Medellín
2020-03-14,25,12,8.7,5,Ligeras precipitaciones,Medellín
2019-03-14,20,12,35.7,5,Lluvias torrenciales,Medellín
2024-03-15,23,11,6.8,4,Ligeras precipitaciones,Medellín
2023-03-15,22,9,21.9,4,Lluvias fuertes o moderadas,Medellín
2022-03-15,21,10,4.8,4,Ligeras precipitaciones,Medellín
2021-03-15,21,11,37.5,4,Lluvias fuertes o moderadas,Medellín
2020-03-15,23,10,14.3,4,Lluvias fuertes o moderadas,Medellín
2019-03-15,20,12,43.6,4,Lluvias torrenciales,Medellín
2024-03-16,27,11,11.0,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-03-16,22,9,46.7,2,Lluvias fuertes o moderadas,Medellín
2022-03-16,22,13,3.9,4,Ligeras precipitaciones,Medellín
2021-03-16,22,11,45.8,2,Lluvias fuertes o moderadas,Medellín
2020-03-16,25,14,10.8,5,Lluvias fuertes o moderadas,Medellín
2019-03-16,21,12,16.4,5,Lluvias fuertes o moderadas,Medellín
2024-03-17,26,11,1.7,7,Lluvia moderada a intervalos,Medellín
2023-03-17,22,10,59.6,4,Lluvias fuertes o moderadas,Medellín
2022-03-17,24,14,1.6,5,Ligeras precipitaciones,Medellín
2021-03-17,20,9,35.7,4,Lluvias fuertes o moderadas,Medellín
2020-03-17,26,15,1.6,5,Lluvia moderada a intervalos,Medellín
2019-03-17,21,13,37.6,5,Lluvias torrenciales,Medellín
2024-03-18,26,11,6.7,5,Llovizna a intervalos,Medellín
2023-03-18,21,10,41.2,4,Lluvias fuertes o moderadas,Medellín
2022-03-18,27,15,2.4,4,Lluvia moderada a intervalos,Medellín
2021-03-18,22,12,28.8,4,Lluvias fuertes o moderadas,Medellín
2020-03-18,27,14,3.2,4,Lluvia moderada a intervalos,Medellín
2019-03-18,19,13,46.0,4,Lluvias torrenciales,Medellín
2024-03-19,25,11,11.1,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-03-19,20,10,38.6,3,Lluvias fuertes o moderadas,Medellín
2022-03-19,23,15,2.5,3,Ligeras precipitaciones,Medellín
2021-03-19,20,13,50.6,5,Fuertes lluvias,Medellín
2020-03-19,23,14,24.9,3,Lluvias fuertes o moderadas,Medellín
2019-03-19,17,12,28.1,4,Fuertes lluvias,Medellín
2024-03-20,23,11,10.4,3,Ligeras precipitaciones,Medellín
2023-03-20,23,9,33.8,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-20,23,12,4.3,4,Ligeras precipitaciones,Medellín
2021-03-20,21,7,20.8,2,Lluvias fuertes o moderadas,Medellín
2020-03-20,21,13,37.5,4,Lluvias torrenciales,Medellín
2019-03-20,19,12,6.4,3,Lluvias fuertes o moderadas,Medellín
2024-03-21,21,11,15.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-03-21,28,9,3.2,6,Lluvia moderada a intervalos,Medellín
2022-03-21,29,14,1.8,5,Niebla moderada,Medellín
2021-03-21,22,12,22.6,3,Lluvias fuertes o moderadas,Medellín
2020-03-21,25,14,3.6,5,Lluvia moderada a intervalos,Medellín
2019-03-21,17,12,27.5,2,Lluvias fuertes o moderadas,Medellín
2024-03-22,26,10,3.1,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-03-22,29,8,2.9,6,Lluvia moderada a intervalos,Medellín
2022-03-22,26,13,2.7,4,Ligeras precipitaciones,Medellín
2021-03-22,23,11,46.8,3,Lluvias fuertes o moderadas,Medellín
2020-03-22,27,12,0.5,4,Lluvia moderada a intervalos,Medellín
2019-03-22,18,13,41.8,3,Lluvias torrenciales,Medellín
2024-03-23,23,11,7.0,3,Ligeras precipitaciones,Medellín
2023-03-23,22,10,25.8,4,Lluvias fuertes o moderadas,Medellín
2022-03-23,22,14,5.1,4,Ligeras precipitaciones,Medellín
2021-03-23,19,11,47.9,3,Lluvias fuertes o moderadas,Medellín
2020-03-23,27,13,0.8,4,Lluvia moderada a intervalos,Medellín
2019-03-23,20,13,61.9,4,Lluvias torrenciales,Medellín
2024-03-24,25,11,14.3,5,Lluvias fuertes o moderadas,Medellín
2023-03-24,24,9,15.3,5,Ligeras precipitaciones,Medellín
2022-03-24,22,15,5.3,3,Ligeras precipitaciones,Medellín
2021-03-24,20,11,57.6,2,Lluvias fuertes o moderadas,Medellín
2020-03-24,27,14,3.5,5,Lluvia moderada a intervalos,Medellín
2019-03-24,19,12,35.6,4,Lluvias torrenciales,Medellín
2024-03-25,24,15,21.9,6,Lluvias fuertes o moderadas,Medellín
2023-03-25,22,9,36.8,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-25,22,14,3.4,2,Ligeras precipitaciones,Medellín
2021-03-25,21,11,31.4,2,Lluvias fuertes o moderadas,Medellín
2020-03-25,25,16,6.4,5,Lluvias fuertes o moderadas,Medellín
2019-03-25,20,12,32.5,3,Lluvias torrenciales,Medellín
2024-03-26,23,15,16.5,4,Ligeras precipitaciones,Medellín
2023-03-26,18,9,24.9,4,Lluvias fuertes o moderadas,Medellín
2022-03-26,23,14,4.5,3,Ligeras precipitaciones,Medellín
2021-03-26,23,10,29.4,3,Lluvias fuertes o moderadas,Medellín
2020-03-26,27,13,3.9,5,Lluvia moderada a intervalos,Medellín
2019-03-26,17,13,37.0,4,Lluvias torrenciales,Medellín
2024-03-27,25,15,8.2,5,Ligeras precipitaciones,Medellín
2023-03-27,24,10,20.8,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-27,21,13,9.3,3,Ligeras precipitaciones,Medellín
2021-03-27,23,11,32.0,3,Lluvias fuertes o moderadas,Medellín
2020-03-27,27,14,1.0,5,Lluvia moderada a intervalos,Medellín
2019-03-27,19,13,49.7,4,Lluvias torrenciales,Medellín
2024-03-28,28,11,3.8,6,Ligeras precipitaciones,Medellín
2023-03-28,24,9,26.4,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-28,21,15,4.9,2,Ligeras precipitaciones,Medellín
2021-03-28,23,14,25.5,3,Lluvias fuertes o moderadas,Medellín
2020-03-28,26,12,7.8,4,Lluvia moderada a intervalos,Medellín
2019-03-28,21,12,29.5,4,Lluvias torrenciales,Medellín
2024-03-29,26,11,2.0,8,Niebla moderada,Medellín
2023-03-29,24,9,19.8,2,Lluvias fuertes o moderadas,Medellín
2022-03-29,19,11,4.4,4,Ligeras precipitaciones,Medellín
2021-03-29,20,11,15.5,5,Lluvia moderada,Medellín
2020-03-29,23,12,17.0,5,Lluvias fuertes o moderadas,Medellín
2019-03-29,17,13,31.8,2,Fuertes lluvias,Medellín
2024-03-30,27,12,2.5,7,Ligeras precipitaciones,Medellín
2023-03-30,26,9,14.3,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-30,20,10,2.0,3,Ligeras precipitaciones,Medellín
2021-03-30,23,10,4.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-03-30,25,11,8.5,4,Lluvias fuertes o moderadas,Medellín
2019-03-30,20,13,28.9,3,Lluvias torrenciales,Medellín
2024-03-31,23,13,15.1,5,Ligeras precipitaciones,Medellín
2023-03-31,23,10,32.0,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-03-31,20,10,8.0,3,Ligeras precipitaciones,Medellín
2021-03-31,23,11,11.7,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-03-31,24,13,27.9,2,Lluvias fuertes o moderadas,Medellín
2019-03-31,22,12,11.3,5,Lluvias fuertes o moderadas,Medellín
2024-04-01,25,11,9.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-04-01,23,10,35.5,4,Lluvias fuertes o moderadas,Medellín
2022-04-01,19,12,12.2,2,Ligeras precipitaciones,Medellín
2021-04-01,21,10,23.5,4,Lluvias fuertes o moderadas,Medellín
2020-04-01,21,13,22.0,3,Lluvias fuertes o moderadas,Medellín
2019-04-01,19,13,68.5,4,Lluvias torrenciales,Medellín
2024-04-02,25,11,29.1,2,Ligeras precipitaciones,Medellín
2023-04-02,23,10,25.5,5,Lluvias fuertes o moderadas,Medellín
2022-04-02,25,11,5.6,4,Ligeras precipitaciones,Medellín
2021-04-02,19,11,20.3,3,Lluvias fuertes o moderadas,Medellín
2020-04-02,22,14,23.3,4,Lluvias fuertes o moderadas,Medellín
2019-04-02,17,13,79.1,4,Lluvias fuertes o moderadas,Medellín
2024-04-03,22,11,25.8,2,Ligeras precipitaciones,Medellín
2023-04-03,23,10,26.6,4,Lluvias fuertes o moderadas,Medellín
2022-04-03,19,10,3.6,2,Ligeras precipitaciones,Medellín
2021-04-03,19,10,33.0,3,Lluvia moderada,Medellín
2020-04-03,23,17,20.4,4,Lluvias fuertes o moderadas,Medellín
2019-04-03,22,12,16.2,3,Lluvias torrenciales,Medellín
2024-04-04,18,10,15.1,4,Ligeras precipitaciones,Medellín
2023-04-04,24,10,20.0,4,Ligeras precipitaciones,Medellín
2022-04-04,23,15,4.0,3,Ligeras precipitaciones,Medellín
2021-04-04,23,11,10.3,4,Ligeras precipitaciones,Medellín
2020-04-04,24,12,20.0,4,Lluvias fuertes o moderadas,Medellín
2019-04-04,20,11,11.5,3,Lluvias fuertes o moderadas,Medellín
2024-04-05,22,11,17.8,5,Ligeras precipitaciones,Medellín
2023-04-05,24,10,38.5,4,Lluvias fuertes o moderadas,Medellín
2022-04-05,24,16,5.0,4,Ligeras precipitaciones,Medellín
2021-04-05,23,12,21.8,3,Lluvias fuertes o moderadas,Medellín
2020-04-05,26,15,22.9,4,Lluvias fuertes o moderadas,Medellín
2019-04-05,20,13,21.2,2,Lluvias torrenciales,Medellín
2024-04-06,19,11,9.6,4,Ligeras precipitaciones,Medellín
2023-04-06,22,10,26.7,4,Lluvias fuertes o moderadas,Medellín
2022-04-06,18,11,6.6,2,Ligeras precipitaciones,Medellín
2021-04-06,19,11,29.5,3,Lluvias fuertes o moderadas,Medellín
2020-04-06,23,13,23.7,4,Ligeras precipitaciones,Medellín
2019-04-06,21,12,24.8,4,Lluvias torrenciales,Medellín
2024-04-07,23,10,6.2,6,Lluvia moderada a intervalos,Medellín
2023-04-07,21,10,38.9,3,Lluvias fuertes o moderadas,Medellín
2022-04-07,19,10,3.3,4,Llovizna a intervalos,Medellín
2021-04-07,23,13,29.1,4,Lluvias fuertes o moderadas,Medellín
2020-04-07,27,17,11.3,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2019-04-07,21,12,24.6,5,Lluvias torrenciales,Medellín
2024-04-08,27,11,3.9,6,Lluvia moderada a intervalos,Medellín
2023-04-08,24,10,16.0,5,Ligeras precipitaciones,Medellín
2022-04-08,20,10,9.8,5,Ligeras precipitaciones,Medellín
2021-04-08,20,15,40.9,2,Fuertes lluvias,Medellín
2020-04-08,26,13,13.7,4,Lluvias fuertes o moderadas,Medellín
2019-04-08,21,12,18.5,5,Lluvias fuertes o moderadas,Medellín
2024-04-09,26,11,4.8,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-04-09,24,9,15.6,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-09,23,9,3.1,5,Ligeras precipitaciones,Medellín
2021-04-09,21,16,33.5,3,Ligeras precipitaciones,Medellín
2020-04-09,24,12,44.4,2,Lluvias torrenciales,Medellín
2019-04-09,20,11,18.3,4,Lluvias torrenciales,Medellín
2024-04-10,25,11,4.0,4,Lluvia moderada a intervalos,Medellín
2023-04-10,22,10,15.4,5,Lluvias fuertes o moderadas,Medellín
2022-04-10,21,10,7.2,2,Ligeras precipitaciones,Medellín
2021-04-10,24,12,21.8,5,Lluvias fuertes o moderadas,Medellín
2020-04-10,23,12,37.4,2,Lluvias fuertes o moderadas,Medellín
2019-04-10,21,12,20.2,3,Lluvias torrenciales,Medellín
2024-04-11,24,11,5.3,6,Ligeras precipitaciones,Medellín
2023-04-11,22,10,28.2,3,Lluvias fuertes o moderadas,Medellín
2022-04-11,21,10,4.6,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2021-04-11,21,10,16.6,4,Lluvias fuertes o moderadas,Medellín
2020-04-11,21,11,26.8,3,Lluvias fuertes o moderadas,Medellín
2019-04-11,21,12,21.1,3,Lluvias fuertes o moderadas,Medellín
2024-04-12,26,11,2.6,9,Lluvia moderada a intervalos,Medellín
2023-04-12,22,9,37.7,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-12,23,13,2.6,3,Niebla moderada,Medellín
2021-04-12,24,13,7.3,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-04-12,22,13,34.5,2,Lluvias fuertes o moderadas,Medellín
2019-04-12,22,11,18.0,6,Lluvias fuertes o moderadas,Medellín
2024-04-13,27,11,2.2,7,Lluvia moderada a intervalos,Medellín
2023-04-13,23,11,35.1,4,Lluvias fuertes o moderadas,Medellín
2022-04-13,22,15,3.2,3,Ligeras precipitaciones,Medellín
2021-04-13,25,12,5.7,4,Llovizna,Medellín
2020-04-13,24,16,18.8,3,Lluvias fuertes o moderadas,Medellín
2019-04-13,22,12,47.7,5,Lluvias torrenciales,Medellín
2024-04-14,27,11,8.2,5,Lluvia moderada a intervalos,Medellín
2023-04-14,24,10,30.6,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-14,22,11,3.7,3,Ligeras precipitaciones,Medellín
2021-04-14,24,13,11.4,4,Lluvias fuertes o moderadas,Medellín
2020-04-14,23,14,18.6,2,Lluvias fuertes o moderadas,Medellín
2019-04-14,21,13,49.6,5,Lluvias torrenciales,Medellín
2024-04-15,25,10,5.8,5,Lluvia moderada a intervalos,Medellín
2023-04-15,18,10,14.9,3,Ligeras precipitaciones,Medellín
2022-04-15,24,10,7.5,3,Ligeras precipitaciones,Medellín
2021-04-15,22,16,7.7,4,Ligeras precipitaciones,Medellín
2020-04-15,24,16,12.7,2,Lluvias fuertes o moderadas,Medellín
2019-04-15,20,13,24.5,3,Lluvias fuertes o moderadas,Medellín
2024-04-16,25,11,9.2,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-04-16,23,10,40.5,3,Lluvias fuertes o moderadas,Medellín
2022-04-16,21,9,2.7,4,Ligeras precipitaciones,Medellín
2021-04-16,21,12,17.5,1,Lluvias fuertes o moderadas,Medellín
2020-04-16,25,13,4.9,3,Lluvia moderada a intervalos,Medellín
2019-04-16,20,13,28.7,3,Lluvias torrenciales,Medellín
2024-04-17,24,11,20.3,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-04-17,21,10,55.4,4,Lluvias fuertes o moderadas,Medellín
2022-04-17,19,10,6.7,5,Ligeras precipitaciones,Medellín
2021-04-17,20,11,43.2,2,Lluvias fuertes o moderadas,Medellín
2020-04-17,26,9,9.6,4,Lluvias fuertes o moderadas,Medellín
2019-04-17,20,13,38.4,3,Lluvias torrenciales,Medellín
2024-04-18,19,11,10.0,4,Ligeras precipitaciones,Medellín
2023-04-18,22,9,35.9,4,Lluvias fuertes o moderadas,Medellín
2022-04-18,19,10,2.4,5,Ligeras precipitaciones,Medellín
2021-04-18,22,12,39.9,4,Lluvias fuertes o moderadas,Medellín
2020-04-18,19,12,17.9,3,Lluvias fuertes o moderadas,Medellín
2019-04-18,19,13,71.7,2,Lluvias fuertes o moderadas,Medellín
2024-04-19,23,11,11.5,3,Ligeras precipitaciones,Medellín
2023-04-19,23,9,16.8,5,Lluvias fuertes o moderadas,Medellín
2022-04-19,20,12,5.8,2,Ligeras precipitaciones,Medellín
2021-04-19,19,10,18.7,3,Lluvias fuertes o moderadas,Medellín
2020-04-19,23,15,17.5,2,Lluvias fuertes o moderadas,Medellín
2019-04-19,19,13,31.5,4,Lluvias torrenciales,Medellín
2024-04-20,27,9,4.7,5,Lluvia moderada a intervalos,Medellín
2023-04-20,26,10,33.4,5,Lluvias fuertes o moderadas,Medellín
2022-04-20,23,14,3.4,5,Llovizna,Medellín
2021-04-20,22,12,21.9,2,Ligeras precipitaciones,Medellín
2020-04-20,22,14,60.0,3,Lluvias fuertes o moderadas,Medellín
2019-04-20,19,13,43.7,2,Lluvias torrenciales,Medellín
2024-04-21,23,11,15.4,2,Lluvias fuertes o moderadas,Medellín
2023-04-21,17,9,53.6,4,Ligeras precipitaciones,Medellín
2022-04-21,20,10,4.7,3,Ligeras precipitaciones,Medellín
2021-04-21,21,15,13.0,3,Lluvias fuertes o moderadas,Medellín
2020-04-21,22,14,23.0,4,Lluvias fuertes o moderadas,Medellín
2019-04-21,19,13,64.8,3,Lluvias fuertes o moderadas,Medellín
2024-04-22,20,11,29.2,2,Lluvias fuertes o moderadas,Medellín
2023-04-22,22,8,21.8,5,Lluvias fuertes o moderadas,Medellín
2022-04-22,20,9,3.2,4,Ligeras precipitaciones,Medellín
2021-04-22,22,15,18.2,2,Lluvias fuertes o moderadas,Medellín
2020-04-22,23,13,29.9,3,Lluvias fuertes o moderadas,Medellín
2019-04-22,18,12,44.6,5,Lluvias fuertes o moderadas,Medellín
2024-04-23,19,10,9.5,4,Ligeras precipitaciones,Medellín
2023-04-23,24,8,0.8,6,Lluvia moderada a intervalos,Medellín
2022-04-23,21,10,3.6,3,Ligeras precipitaciones,Medellín
2021-04-23,22,14,25.0,4,Lluvias fuertes o moderadas,Medellín
2020-04-23,24,16,32.1,4,Lluvias fuertes o moderadas,Medellín
2019-04-23,23,10,8.9,3,Lluvias fuertes o moderadas,Medellín
2024-04-24,25,10,46.0,4,Lluvias fuertes o moderadas,Medellín
2023-04-24,23,9,17.0,4,Lluvias fuertes o moderadas,Medellín
2022-04-24,21,10,3.4,4,Ligeras precipitaciones,Medellín
2021-04-24,22,15,25.0,4,Lluvias fuertes o moderadas,Medellín
2020-04-24,23,11,27.9,2,Lluvias fuertes o moderadas,Medellín
2019-04-24,22,12,16.9,4,Lluvias torrenciales,Medellín
2024-04-25,23,11,18.7,4,Ligeras precipitaciones,Medellín
2023-04-25,22,10,17.4,3,Ligeras precipitaciones,Medellín
2022-04-25,22,11,9.9,4,Ligeras precipitaciones,Medellín
2021-04-25,24,14,3.0,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-04-25,25,12,10.6,4,Lluvias fuertes o moderadas,Medellín
2019-04-25,21,13,36.7,3,Lluvias torrenciales,Medellín
2024-04-26,25,11,48.3,4,Ligeras precipitaciones,Medellín
2023-04-26,22,10,19.9,3,Lluvias fuertes o moderadas,Medellín
2022-04-26,19,11,6.6,4,Ligeras precipitaciones,Medellín
2021-04-26,26,12,8.0,4,Ligeras precipitaciones,Medellín
2020-04-26,23,10,17.1,3,Lluvias fuertes o moderadas,Medellín
2019-04-26,21,13,39.6,4,Lluvias torrenciales,Medellín
2023-04-27,26,10,107.7,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-27,18,10,12.4,3,Ligeras precipitaciones,Medellín
2021-04-27,21,8,17.8,2,Lluvias fuertes o moderadas,Medellín
2020-04-27,27,13,3.4,5,Lluvia moderada a intervalos,Medellín
2019-04-27,20,11,28.8,5,Lluvias fuertes o moderadas,Medellín
2023-04-28,26,10,41.3,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-28,21,13,2.1,2,Ligeras precipitaciones,Medellín
2021-04-28,17,10,21.9,3,Ligeras precipitaciones,Medellín
2020-04-28,25,12,19.3,3,Lluvias fuertes o moderadas,Medellín
2019-04-28,23,12,17.6,4,Lluvias fuertes o moderadas,Medellín
2024-04-29,22,11,12.7,4,Ligeras precipitaciones,Medellín
2023-04-29,24,10,32.5,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-29,24,10,4.8,4,Ligeras precipitaciones,Medellín
2021-04-29,19,10,8.7,6,Ligeras precipitaciones,Medellín
2020-04-29,25,12,20.6,3,Lluvias fuertes o moderadas,Medellín
2019-04-29,24,12,5.0,4,Lluvia moderada a intervalos,Medellín
2024-04-30,23,11,10.4,4,Ligeras precipitaciones,Medellín
2023-04-30,22,11,33.0,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-04-30,18,10,11.7,3,Ligeras lluvias,Medellín
2021-04-30,22,12,10.2,4,Lluvias fuertes o moderadas,Medellín
2020-04-30,24,12,30.0,2,Lluvias fuertes o moderadas,Medellín
2019-04-30,25,11,0.0,8,Parcialmente nublado,Medellín
2024-05-11,22,11,9.2,4,Ligeras precipitaciones,Medellín
2023-05-11,23,11,35.2,4,Lluvias fuertes o moderadas,Medellín
2022-05-11,18,10,12.2,4,Ligeras lluvias,Medellín
2021-05-11,23,12,10.8,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-05-11,25,10,17.4,4,Lluvias fuertes o moderadas,Medellín
2019-05-11,20,11,28.7,2,Lluvias torrenciales,Medellín
2024-05-12,24,10,17.7,4,Ligeras precipitaciones,Medellín
2023-05-12,24,14,14.4,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-05-12,19,11,3.0,2,Ligeras precipitaciones,Medellín
2021-05-12,25,12,7.8,5,Niebla moderada,Medellín
2020-05-12,24,13,21.7,2,Lluvias fuertes o moderadas,Medellín
2019-05-12,21,13,35.8,2,Lluvias torrenciales,Medellín
2024-05-13,24,11,17.4,6,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-05-13,24,11,23.3,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-05-13,20,11,13.5,4,Ligeras precipitaciones,Medellín
2021-05-13,25,14,9.0,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2020-05-13,23,9,28.3,4,Lluvias fuertes o moderadas,Medellín
2019-05-13,21,12,25.5,4,Lluvias torrenciales,Medellín
2024-05-14,27,10,4.0,5,Niebla moderada,Medellín
2023-05-14,26,11,47.3,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-05-14,22,10,3.6,4,Ligeras precipitaciones,Medellín
2021-05-14,25,13,14.1,5,Lluvias fuertes o moderadas,Medellín
2020-05-14,22,13,25.0,2,Lluvias fuertes o moderadas,Medellín
2019-05-14,20,13,28.8,4,Lluvias torrenciales,Medellín
2024-05-15,25,11,13.5,5,Ligeras precipitaciones,Medellín
2023-05-15,20,10,38.3,4,Ligeras precipitaciones,Medellín
2022-05-15,23,10,3.2,5,Ligeras precipitaciones,Medellín
2021-05-15,22,10,24.2,3,Ligeras precipitaciones,Medellín
2020-05-15,24,14,29.7,4,Lluvias fuertes o moderadas,Medellín
2019-05-15,17,12,34.7,3,Lluvias torrenciales,Medellín
2024-05-16,19,10,5.4,3,Ligeras precipitaciones,Medellín
2023-05-16,19,11,73.4,3,Lluvias fuertes o moderadas,Medellín
2022-05-16,23,11,4.9,3,Ligeras precipitaciones,Medellín
2021-05-16,21,11,32.7,2,Ligeras precipitaciones,Medellín
2020-05-16,24,14,25.9,4,Lluvias fuertes o moderadas,Medellín
2019-05-16,21,12,34.8,2,Lluvias torrenciales,Medellín
2024-05-17,24,10,11.4,5,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2023-05-17,23,11,40.1,5,Ligeras precipitaciones,Medellín
2022-05-17,22,11,8.3,3,Ligeras precipitaciones,Medellín
2021-05-17,23,11,18.9,3,Lluvias fuertes o moderadas,Medellín
2020-05-17,25,15,16.6,6,Lluvias fuertes o moderadas,Medellín
2019-05-17,19,12,20.7,2,Lluvias fuertes o moderadas,Medellín
2024-05-18,26,16,8.1,6,Ligeras precipitaciones,Medellín
2023-05-18,30,14,0.5,6,Lluvia moderada a intervalos,Medellín
2022-05-18,21,11,5.2,4,Ligeras precipitaciones,Medellín
2021-05-18,21,15,15.8,4,Ligeras precipitaciones,Medellín
2020-05-18,25,12,31.1,3,Lluvias fuertes o moderadas,Medellín
2019-05-18,19,12,30.3,4,Lluvias torrenciales,Medellín
2024-05-19,24,12,8.4,5,Ligeras precipitaciones,Medellín
2023-05-19,23,12,20.5,4,Intervalos de lluvias ligeras con tomenta en la región,Medellín
2022-05-19,18,11,3.5,4,Ligeras precipitaciones,Medellín
2021-05-19,24,13,10.9,5,Lluvias fuertes o moderadas,Medellín
2020-05-19,23,11,29.1,3,Lluvias fuertes o moderadas,Medellín
2019-05-19,15,12,40.5,3,Fuertes lluvias,Medellín
2024-05-20,22,11,12.8,4,Ligeras precipitaciones,Medellín
2023-05-20,23,13,43.6,3,Lluvias fuertes o moderadas,Medellín
2022-05-20,19,10,3.2,3,Ligeras precipitaciones,Medellín
2021-05-20,22,15,11.1,4,Lluvias fuertes o moderadas,Medellín
2020-05-20,24,12,16.7,5,Lluvias fuertes o moderadas,Medellín
2019-05-20,17,11,32.4,3,Ligeras precipitaciones,Medellín
2024-05-21,20,11,8.3,4,Ligeras precipitaciones,Medellín
2023-05-21,20,12,31.4,5,Lluvias fuertes o moderadas,Medellín
2022-05-21,18,9,5.1,4,Ligeras precipitaciones,Medellín
2021-05-21,25,11,16.8,4,Lluvias fuertes o moderadas,Medellín
2020-05-21,27,13,13.1,4,Lluvias fuertes o moderadas,Medellín
