Date (yyyy-mm-dd),Max_temperature (Â°C),Min_temperature (Â°C),Rain (mm),Wind (km/h),Description,City
2019-06-27,27,9,4.6,6,lluvia moderada a intervalos,medellã­n
2023-06-28,24,9,2.5,5,niebla moderada,medellã­n
2022-06-28,22,9,4.3,5,niebla moderada,medellã­n
2019-06-28,25,9,4.0,10,ligeras precipitaciones,medellã­n
2019-06-29,25,9,5.0,10,lluvias fuertes o moderadas,medellã­n
2022-06-30,24,9,4.5,4,ligeras precipitaciones,medellã­n
2022-07-11,17,10,2.1,2,ligeras precipitaciones,medellã­n
2024-07-12,24,10,7.5,6,niebla moderada,medellã­n
2022-07-12,22,10,4.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-07-12,20,10,7.6,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-07-13,22,8,4.4,5,llovizna a intervalos,medellã­n
2022-07-13,22,10,7.5,4,ligeras precipitaciones,medellã­n
2024-07-14,27,9,0.3,7,lluvia moderada a intervalos,medellã­n
2022-07-14,21,10,4.0,4,ligeras precipitaciones,medellã­n
2022-07-15,21,9,2.4,3,ligeras precipitaciones,medellã­n
2024-07-16,27,10,2.1,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-07-16,23,9,5.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-07-17,26,10,3.5,4,lluvia moderada a intervalos,medellã­n
2022-07-17,24,9,2.0,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-07-17,28,14,3.0,6,lluvia moderada a intervalos,medellã­n
2024-07-18,25,9,3.5,6,lluvia moderada a intervalos,medellã­n
2023-07-18,28,9,3.7,9,periodos de lluvia moderada,medellã­n
2019-07-18,27,13,1.8,7,lluvia moderada a intervalos,medellã­n
2024-07-19,24,9,4.8,5,lluvia moderada a intervalos,medellã­n
2021-07-19,26,13,1.6,9,lluvia moderada a intervalos,medellã­n
2019-07-19,27,13,2.8,9,lluvia moderada a intervalos,medellã­n
2024-07-20,27,9,0.2,8,niebla moderada,medellã­n
2022-07-20,23,10,4.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-07-20,26,12,0.0,7,parcialmente nublado,medellã­n
2019-07-20,27,10,1.5,9,lluvia moderada a intervalos,medellã­n
2024-07-21,24,9,6.9,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-07-21,25,9,1.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-07-21,26,10,0.1,8,parcialmente nublado,medellã­n
2019-07-21,28,10,4.8,7,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-07-22,24,9,5.5,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-07-22,24,11,6.2,5,ligeras precipitaciones,medellã­n
2021-07-22,25,11,1.3,8,lluvia moderada a intervalos,medellã­n
2024-07-23,27,9,0.1,7,lluvia moderada a intervalos,medellã­n
2021-07-23,25,11,1.5,8,lluvia moderada a intervalos,medellã­n
2024-07-24,28,9,0.5,7,lluvia moderada a intervalos,medellã­n
2021-07-24,25,10,3.9,4,lluvia moderada a intervalos,medellã­n
2024-07-25,27,10,1.1,5,lluvia moderada a intervalos,medellã­n
2024-07-27,24,9,5.8,5,niebla moderada,medellã­n
2022-07-27,18,13,7.2,3,ligeras precipitaciones,medellã­n
2019-07-27,25,12,7.8,8,llovizna a intervalos,medellã­n
2024-07-28,26,9,3.9,7,niebla moderada,medellã­n
2022-07-28,21,10,7.5,2,ligeras precipitaciones,medellã­n
2024-07-29,27,10,0.9,7,lluvia moderada a intervalos,medellã­n
2022-07-29,21,9,2.8,6,niebla moderada,medellã­n
2024-07-30,25,10,4.3,6,lluvia moderada a intervalos,medellã­n
2022-07-30,24,11,6.5,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-07-30,25,9,4.5,5,niebla moderada,medellã­n
2019-07-30,27,14,7.2,8,ligeras precipitaciones,medellã­n
2024-07-31,27,10,0.7,7,lluvia moderada a intervalos,medellã­n
2022-07-31,21,10,4.7,4,ligeras precipitaciones,medellã­n
2021-07-31,26,13,3.1,5,niebla moderada,medellã­n
2019-07-31,27,15,3.8,7,ligeras precipitaciones,medellã­n
2022-05-01,21,10,3.9,4,ligeras precipitaciones,medellã­n
2019-05-01,26,11,0.0,7,parcialmente nublado,medellã­n
2022-05-02,22,13,4.1,5,ligeras precipitaciones,medellã­n
2019-05-02,26,11,0.6,7,parcialmente nublado,medellã­n
2022-05-03,24,14,3.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-05-03,25,11,6.1,5,ligeras precipitaciones,medellã­n
2022-05-05,22,10,2.7,4,llovizna a intervalos,medellã­n
2022-05-06,24,9,3.6,4,ligeras precipitaciones,medellã­n
2022-05-07,20,11,8.0,1,ligeras precipitaciones,medellã­n
2022-05-08,21,11,7.8,4,ligeras precipitaciones,medellã­n
2020-05-08,27,13,4.2,7,lluvia moderada a intervalos,medellã­n
2022-05-09,27,10,6.6,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-05-09,27,13,4.0,6,lluvia moderada a intervalos,medellã­n
2024-06-01,28,11,0.8,5,lluvia moderada a intervalos,medellã­n
2022-06-01,20,9,3.4,2,ligeras precipitaciones,medellã­n
2024-06-02,27,11,7.4,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-06-02,22,10,5.7,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-06-03,22,9,4.4,2,ligeras precipitaciones,medellã­n
2023-06-04,28,11,7.6,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-06-05,24,12,8.0,6,ligeras precipitaciones,medellã­n
2022-06-06,18,9,2.7,3,ligeras precipitaciones,medellã­n
2022-06-07,17,9,7.3,3,ligeras precipitaciones,medellã­n
2022-06-08,21,8,3.5,4,ligeras precipitaciones,medellã­n
2022-06-09,21,9,3.0,2,ligeras precipitaciones,medellã­n
2022-06-10,22,9,4.9,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-06-10,19,10,4.9,2,ligeras precipitaciones,medellã­n
2022-07-02,21,10,6.5,4,ligeras precipitaciones,medellã­n
2022-07-03,23,9,2.0,5,niebla moderada,medellã­n
2021-07-03,25,9,4.2,4,periodos de lluvia moderada,medellã­n
2022-07-04,23,8,1.4,6,niebla moderada,medellã­n
2021-07-04,24,10,1.0,5,lluvia moderada a intervalos,medellã­n
2022-07-05,28,9,1.3,5,lluvia moderada a intervalos,medellã­n
2021-07-05,26,11,1.6,5,lluvia moderada a intervalos,medellã­n
2022-07-06,24,9,0.6,6,niebla moderada,medellã­n
2021-07-06,26,10,1.2,5,lluvia moderada a intervalos,medellã­n
2019-07-06,24,10,3.6,10,lluvia moderada a intervalos,medellã­n
2024-07-07,25,14,3.8,5,niebla moderada,medellã­n
2022-07-07,28,9,0.7,6,niebla moderada,medellã­n
2021-07-07,26,13,1.1,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-07-07,27,9,3.3,8,lluvia moderada a intervalos,medellã­n
2024-07-08,26,9,2.0,6,lluvia moderada a intervalos,medellã­n
2022-07-08,26,9,1.8,6,niebla moderada,medellã­n
2024-07-09,26,9,6.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-07-09,25,9,1.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-07-10,24,9,8.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-07-10,25,9,2.3,4,ligeras precipitaciones,medellã­n
2019-07-10,26,11,4.6,7,lluvias fuertes o moderadas,medellã­n
2024-08-01,26,9,4.5,5,niebla moderada,medellã­n
2023-08-01,26,9,1.8,9,lluvia moderada a intervalos,medellã­n
2022-08-01,22,10,6.1,5,ligeras precipitaciones,medellã­n
2024-08-02,22,9,7.9,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-08-02,24,15,3.0,5,lluvia moderada a intervalos,medellã­n
2020-08-02,27,14,1.4,5,lluvia moderada a intervalos,medellã­n
2022-08-04,21,10,7.0,5,ligeras precipitaciones,medellã­n
2021-08-04,25,10,0.0,8,parcialmente nublado,medellã­n
2020-08-04,26,15,3.8,4,lluvia moderada a intervalos,medellã­n
2023-08-05,28,9,5.7,7,periodos de lluvia moderada,medellã­n
2022-08-05,20,9,5.2,2,ligeras precipitaciones,medellã­n
2021-08-05,25,14,0.1,7,parcialmente nublado,medellã­n
2019-08-05,27,15,4.0,7,lluvia moderada a intervalos,medellã­n
2023-08-06,28,10,6.8,6,periodos de lluvia moderada,medellã­n
2021-08-06,26,10,0.3,6,lluvia moderada a intervalos,medellã­n
2020-08-06,26,14,6.8,5,lluvia moderada a intervalos,medellã­n
2019-08-06,27,9,2.2,7,lluvia moderada a intervalos,medellã­n
2022-08-07,22,9,1.9,5,ligeras precipitaciones,medellã­n
2021-08-07,25,10,1.6,4,lluvia moderada a intervalos,medellã­n
2020-08-07,26,13,1.3,9,lluvia moderada a intervalos,medellã­n
2019-08-07,24,9,4.2,8,lluvia moderada a intervalos,medellã­n
2023-08-08,28,10,6.9,11,ligeras precipitaciones,medellã­n
2020-08-08,27,12,4.7,7,periodos de lluvia moderada,medellã­n
2023-08-09,27,10,0.1,7,neblina,medellã­n
2022-08-09,26,9,2.1,6,lluvia moderada a intervalos,medellã­n
2020-08-09,28,13,2.5,6,periodos de lluvia moderada,medellã­n
2019-08-09,24,9,7.6,6,ligeras precipitaciones,medellã­n
2020-08-10,27,12,3.9,5,lluvia moderada a intervalos,medellã­n
2019-08-10,27,8,7.0,7,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-08-12,22,8,3.2,5,ligeras precipitaciones,medellã­n
2022-08-13,20,9,4.7,3,ligeras lluvias,medellã­n
2024-08-14,25,13,3.2,5,niebla moderada,medellã­n
2023-08-14,26,9,7.5,7,niebla moderada,medellã­n
2022-08-14,22,9,3.7,4,ligeras precipitaciones,medellã­n
2024-08-15,28,10,0.4,9,lluvia moderada a intervalos,medellã­n
2019-08-15,25,11,7.3,7,lluvias fuertes o moderadas,medellã­n
2024-08-16,26,10,4.2,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-08-17,28,9,5.9,5,niebla moderada,medellã­n
2022-08-17,21,9,3.4,4,ligeras precipitaciones,medellã­n
2024-08-19,27,10,0.0,8,lluvia moderada a intervalos,medellã­n
2022-08-19,26,10,1.2,6,niebla moderada,medellã­n
2019-08-19,27,12,7.4,8,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-08-20,27,14,0.4,7,lluvia moderada a intervalos,medellã­n
2022-08-20,28,9,1.2,6,lluvia moderada a intervalos,medellã­n
2019-08-20,26,14,2.0,7,lluvia moderada a intervalos,medellã­n
2024-08-21,26,10,4.8,4,periodos de lluvia moderada,medellã­n
2022-08-21,21,9,3.0,2,ligeras precipitaciones,medellã­n
2019-08-21,26,14,0.3,8,parcialmente nublado,medellã­n
2024-08-22,24,9,7.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-08-22,21,10,5.5,3,ligeras precipitaciones,medellã­n
2019-08-22,27,11,3.3,7,lluvia moderada a intervalos,medellã­n
2023-08-23,25,9,5.4,5,periodos de lluvia moderada,medellã­n
2022-08-23,20,9,2.2,5,niebla moderada,medellã­n
2019-08-23,27,12,3.6,6,lluvia moderada a intervalos,medellã­n
2023-08-24,25,9,8.0,7,ligeras precipitaciones,medellã­n
2022-08-24,24,9,1.7,5,niebla moderada,medellã­n
2019-08-24,27,12,2.0,7,parcialmente nublado,medellã­n
2024-08-26,25,11,6.1,5,lluvia moderada a intervalos,medellã­n
2023-08-26,25,9,7.0,5,niebla moderada,medellã­n
2022-08-26,21,12,3.3,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-08-26,23,10,4.4,3,niebla moderada,medellã­n
2019-08-26,25,15,3.8,8,lluvia moderada a intervalos,medellã­n
2024-08-27,26,10,1.6,6,periodos de lluvia moderada,medellã­n
2023-08-27,27,10,0.0,7,neblina,medellã­n
2022-08-27,20,9,5.2,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-08-27,21,9,4.7,4,ligeras precipitaciones,medellã­n
2019-08-27,28,15,0.9,8,parcialmente nublado,medellã­n
2023-08-28,27,9,0.2,7,neblina,medellã­n
2022-08-28,20,9,7.8,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-08-28,22,9,2.6,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-08-29,25,13,6.9,5,llovizna a intervalos,medellã­n
2023-08-29,28,10,0.5,8,lluvia moderada a intervalos,medellã­n
2021-08-29,23,11,4.5,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-08-29,27,11,4.3,8,ligeras precipitaciones,medellã­n
2024-08-30,26,13,3.3,5,lluvia moderada a intervalos,medellã­n
2023-08-30,28,12,0.0,6,despejado,medellã­n
2021-08-30,22,14,6.5,2,ligeras precipitaciones,medellã­n
2019-08-30,28,12,1.1,8,lluvia moderada a intervalos,medellã­n
2022-08-31,23,8,2.2,5,niebla moderada,medellã­n
2021-08-31,21,14,4.0,3,ligeras precipitaciones,medellã­n
2019-08-31,26,10,6.7,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-01,22,13,7.9,2,ligeras precipitaciones,medellã­n
2021-09-01,20,15,6.5,5,ligeras precipitaciones,medellã­n
2022-09-02,22,9,6.3,4,ligeras precipitaciones,medellã­n
2021-09-02,22,10,7.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-03,26,13,4.1,5,llovizna a intervalos,medellã­n
2022-09-03,24,10,4.2,6,ligeras precipitaciones,medellã­n
2021-09-03,24,11,4.2,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-04,26,15,5.2,5,niebla moderada,medellã­n
2022-09-04,26,9,1.2,6,niebla moderada,medellã­n
2021-09-04,23,10,2.7,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-05,28,14,3.0,6,ligeras precipitaciones,medellã­n
2023-09-05,27,14,0.1,7,niebla moderada,medellã­n
2021-09-05,23,9,3.6,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-09-05,27,15,6.4,7,lluvias fuertes o moderadas,medellã­n
2023-09-06,28,13,0.0,7,neblina,medellã­n
2021-09-06,18,9,2.4,2,llovizna a intervalos,medellã­n
2024-09-07,27,9,3.0,4,lluvia moderada a intervalos,medellã­n
2023-09-07,26,12,2.4,6,periodos de lluvia moderada,medellã­n
2022-09-07,28,8,0.7,4,lluvia moderada a intervalos,medellã­n
2021-09-07,20,10,5.3,3,ligeras precipitaciones,medellã­n
2019-09-07,27,15,4.8,4,lluvias fuertes o moderadas,medellã­n
2024-09-08,27,10,0.3,8,niebla moderada,medellã­n
2023-09-08,26,11,4.6,6,lluvia moderada a intervalos,medellã­n
2022-09-08,23,9,3.6,2,ligeras precipitaciones,medellã­n
2021-09-08,23,10,3.9,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2019-09-08,27,15,1.3,4,parcialmente nublado,medellã­n
2024-09-09,28,10,0.0,9,neblina,medellã­n
2022-09-09,24,9,2.3,5,lluvia moderada a intervalos,medellã­n
2021-09-09,23,10,2.2,4,ligeras precipitaciones,medellã­n
2019-09-09,28,11,6.3,8,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-10,28,10,0.0,7,lluvia moderada a intervalos,medellã­n
2022-09-10,22,11,5.1,5,ligeras precipitaciones,medellã­n
2021-09-10,22,10,7.8,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-11,27,10,1.6,6,lluvia moderada a intervalos,medellã­n
2023-09-11,26,10,7.0,4,niebla moderada,medellã­n
2021-09-11,21,10,3.4,5,ligeras precipitaciones,medellã­n
2024-09-12,27,11,5.7,7,niebla moderada,medellã­n
2023-09-12,26,10,0.0,5,niebla moderada,medellã­n
2022-09-12,22,9,3.4,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-09-12,23,9,3.9,4,ligeras precipitaciones,medellã­n
2024-09-13,27,11,6.9,6,ligeras precipitaciones,medellã­n
2023-09-13,27,14,7.2,6,neblina,medellã­n
2021-09-13,28,9,2.1,5,ligeras precipitaciones,medellã­n
2024-09-14,26,11,7.7,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-09-14,25,15,3.6,5,niebla moderada,medellã­n
2022-09-14,18,12,6.4,4,ligeras lluvias,medellã­n
2021-09-14,22,11,2.3,4,lluvia moderada a intervalos,medellã­n
2020-09-14,26,10,1.9,6,neblina,medellã­n
2024-09-15,28,10,2.8,5,niebla moderada,medellã­n
2023-09-15,23,10,0.0,5,niebla moderada,medellã­n
2021-09-15,22,10,3.4,4,ligeras precipitaciones,medellã­n
2023-09-17,27,11,0.1,6,lluvia moderada a intervalos,medellã­n
2023-09-18,25,11,5.5,6,lluvia moderada a intervalos,medellã­n
2022-09-18,22,13,3.7,2,ligeras precipitaciones,medellã­n
2024-09-19,26,13,5.0,5,periodos de lluvia moderada,medellã­n
2023-09-19,27,11,4.4,8,ligeras precipitaciones,medellã­n
2022-09-19,21,13,8.0,2,ligeras precipitaciones,medellã­n
2021-09-19,23,11,4.1,4,ligeras precipitaciones,medellã­n
2023-09-20,27,9,0.6,8,lluvia moderada a intervalos,medellã­n
2021-09-20,22,13,2.5,5,ligeras precipitaciones,medellã­n
2023-09-21,28,9,0.2,8,lluvia moderada a intervalos,medellã­n
2022-09-21,22,12,6.0,3,ligeras precipitaciones,medellã­n
2021-09-21,22,15,3.7,4,ligeras precipitaciones,medellã­n
2023-09-22,27,11,5.4,6,lluvia moderada a intervalos,medellã­n
2022-09-22,22,12,3.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-09-22,22,14,3.4,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-09-22,24,11,7.9,4,periodos de lluvia moderada,medellã­n
2022-09-23,21,12,5.9,4,ligeras lluvias,medellã­n
2021-09-23,21,15,3.8,2,ligeras precipitaciones,medellã­n
2020-09-23,25,13,3.0,5,lluvia moderada a intervalos,medellã­n
2024-09-24,27,9,3.6,7,periodos de lluvia moderada,medellã­n
2023-09-24,22,10,7.2,4,ligeras precipitaciones,medellã­n
2024-09-25,24,10,7.1,6,niebla moderada,medellã­n
2023-09-25,27,9,3.6,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-09-25,23,8,0.8,6,lluvia moderada a intervalos,medellã­n
2024-09-26,18,9,5.9,3,ligeras precipitaciones,medellã­n
2023-09-26,26,10,8.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-09-26,25,10,1.3,5,ligeras precipitaciones,medellã­n
2021-09-26,28,8,0.6,6,lluvia moderada a intervalos,medellã­n
2022-09-27,28,9,0.4,5,lluvia moderada a intervalos,medellã­n
2021-09-27,28,9,0.9,5,lluvia moderada a intervalos,medellã­n
2022-09-28,22,9,1.6,4,lluvia moderada a intervalos,medellã­n
2021-09-28,25,9,1.4,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-09-29,19,9,6.6,4,ligeras precipitaciones,medellã­n
2023-09-29,25,10,3.2,5,ligeras precipitaciones,medellã­n
2022-09-29,22,10,5.3,1,ligeras precipitaciones,medellã­n
2021-09-29,23,9,2.6,4,ligeras precipitaciones,medellã­n
2023-09-30,27,10,4.4,6,lluvia moderada a intervalos,medellã­n
2021-09-30,21,12,4.2,2,ligeras precipitaciones,medellã­n
2023-10-01,28,10,0.9,7,niebla moderada,medellã­n
2022-10-01,21,9,4.3,4,ligeras precipitaciones,medellã­n
2021-10-01,21,12,2.9,4,ligeras precipitaciones,medellã­n
2022-10-02,24,9,1.3,7,ligeras precipitaciones,medellã­n
2021-10-02,22,10,3.2,2,ligeras precipitaciones,medellã­n
2022-10-03,23,8,1.5,6,lluvia moderada a intervalos,medellã­n
2021-10-03,22,9,3.6,3,ligeras precipitaciones,medellã­n
2022-10-04,25,9,4.4,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-10-04,23,10,4.3,4,ligeras precipitaciones,medellã­n
2022-10-05,20,10,6.2,3,ligeras precipitaciones,medellã­n
2021-10-05,24,9,2.8,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-10-06,21,10,7.0,2,ligeras precipitaciones,medellã­n
2022-10-06,20,13,3.1,3,ligeras precipitaciones,medellã­n
2021-10-06,23,11,4.2,5,ligeras precipitaciones,medellã­n
2022-10-07,23,13,3.1,4,ligeras precipitaciones,medellã­n
2021-10-07,28,12,2.4,5,niebla moderada,medellã­n
2023-10-08,17,9,6.7,4,ligeras precipitaciones,medellã­n
2022-10-08,21,15,7.7,4,ligeras precipitaciones,medellã­n
2021-10-08,21,12,5.0,2,ligeras precipitaciones,medellã­n
2023-10-09,22,9,6.5,4,llovizna a intervalos,medellã­n
2022-10-09,20,12,3.9,2,ligeras precipitaciones,medellã­n
2021-10-09,21,10,4.7,3,ligeras precipitaciones,medellã­n
2022-10-10,21,10,6.1,2,ligeras precipitaciones,medellã­n
2021-10-10,22,10,4.2,4,ligeras precipitaciones,medellã­n
2022-10-11,23,14,1.5,3,ligeras precipitaciones,medellã­n
2024-10-12,25,9,2.8,6,periodos de lluvia moderada,medellã­n
2022-10-12,23,13,2.5,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-10-12,22,10,3.9,3,ligeras precipitaciones,medellã­n
2024-10-13,23,9,6.7,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2023-10-13,19,9,5.5,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-10-13,20,11,5.5,1,ligeras precipitaciones,medellã­n
2021-10-13,23,10,6.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-10-14,26,9,0.8,8,lluvia moderada a intervalos,medellã­n
2022-10-14,21,9,3.8,2,ligeras precipitaciones,medellã­n
2021-10-14,23,10,6.3,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-10-15,20,10,4.7,5,ligeras precipitaciones,medellã­n
2021-10-15,22,11,4.8,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-10-15,22,10,4.7,6,lluvia moderada a intervalos,medellã­n
2022-10-16,19,9,4.7,2,ligeras precipitaciones,medellã­n
2021-10-16,24,9,2.9,5,ligeras precipitaciones,medellã­n
2022-10-17,17,10,3.5,3,ligeras precipitaciones,medellã­n
2021-10-17,22,11,4.1,4,ligeras precipitaciones,medellã­n
2024-10-18,22,11,6.0,3,ligeras precipitaciones,medellã­n
2023-10-18,21,9,2.0,5,niebla moderada,medellã­n
2022-10-18,20,9,3.5,4,ligeras precipitaciones,medellã­n
2021-10-18,20,10,7.4,4,ligeras precipitaciones,medellã­n
2024-10-19,22,10,6.2,3,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-10-19,20,10,5.2,2,ligeras precipitaciones,medellã­n
2021-10-19,22,9,1.6,5,ligeras precipitaciones,medellã­n
2022-10-20,19,9,5.5,4,ligeras precipitaciones,medellã­n
2021-10-20,17,9,2.9,2,ligeras precipitaciones,medellã­n
2023-10-21,21,10,7.1,3,ligeras precipitaciones,medellã­n
2022-10-21,20,10,4.8,3,ligeras precipitaciones,medellã­n
2021-10-21,23,8,2.7,3,ligeras precipitaciones,medellã­n
2021-10-22,21,14,4.7,4,ligeras precipitaciones,medellã­n
2022-10-23,18,10,6.1,3,ligeras precipitaciones,medellã­n
2021-10-23,22,10,2.7,2,ligeras precipitaciones,medellã­n
2021-10-24,21,9,3.6,4,ligeras precipitaciones,medellã­n
2024-10-25,22,10,7.1,4,ligeras precipitaciones,medellã­n
2022-10-25,17,9,3.0,5,ligeras precipitaciones,medellã­n
2021-10-25,22,9,3.4,2,ligeras precipitaciones,medellã­n
2023-10-26,21,10,5.4,5,ligeras precipitaciones,medellã­n
2022-10-26,19,8,2.2,4,ligeras precipitaciones,medellã­n
2021-10-26,22,10,4.9,2,ligeras precipitaciones,medellã­n
2023-10-27,18,10,5.6,6,ligeras precipitaciones,medellã­n
2022-10-27,18,9,4.6,4,ligeras precipitaciones,medellã­n
2021-10-27,18,10,5.3,3,ligeras precipitaciones,medellã­n
2023-10-28,21,9,3.2,9,ligeras precipitaciones,medellã­n
2022-10-28,18,9,3.3,2,ligeras precipitaciones,medellã­n
2021-10-28,23,10,2.1,4,ligeras precipitaciones,medellã­n
2023-10-29,22,9,5.3,7,ligeras precipitaciones,medellã­n
2022-10-29,17,10,5.1,2,ligeras precipitaciones,medellã­n
2021-10-29,22,8,1.8,4,ligeras precipitaciones,medellã­n
2022-10-30,22,9,1.8,5,ligeras precipitaciones,medellã­n
2022-10-31,19,10,3.5,4,ligeras precipitaciones,medellã­n
2021-10-31,19,11,5.6,3,ligeras precipitaciones,medellã­n
2022-08-03,26,9,2.3,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-08-03,25,14,0.5,7,lluvia moderada a intervalos,medellã­n
2020-08-03,26,15,3.2,4,lluvia moderada a intervalos,medellã­n
2022-08-11,28,9,1.3,4,niebla moderada,medellã­n
2021-08-11,24,11,6.8,4,periodos de lluvia moderada,medellã­n
2024-08-18,28,8,0.0,9,neblina,medellã­n
2022-08-18,23,11,2.9,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-08-25,22,8,2.3,4,niebla moderada,medellã­n
2019-08-25,27,14,5.7,7,lluvia moderada a intervalos,medellã­n
2023-09-16,27,9,0.1,7,niebla moderada,medellã­n
2022-09-16,23,10,2.6,4,niebla moderada,medellã­n
2021-09-16,24,14,3.0,7,llovizna,medellã­n
2024-11-01,21,9,2.3,8,niebla moderada,medellã­n
2022-11-01,24,11,1.3,5,ligeras precipitaciones,medellã­n
2021-11-01,21,10,3.0,3,ligeras precipitaciones,medellã­n
2024-11-02,22,12,4.8,7,ligeras precipitaciones,medellã­n
2022-11-02,20,11,3.7,4,ligeras precipitaciones,medellã­n
2021-11-02,17,10,2.8,4,ligeras precipitaciones,medellã­n
2024-11-03,24,9,4.4,6,ligeras precipitaciones,medellã­n
2022-11-03,17,11,7.0,3,ligeras precipitaciones,medellã­n
2021-11-03,22,12,1.9,4,ligeras precipitaciones,medellã­n
2020-11-03,23,10,7.4,2,ligeras precipitaciones,medellã­n
2024-11-04,24,10,3.3,6,niebla moderada,medellã­n
2022-11-04,18,10,1.3,5,ligeras precipitaciones,medellã­n
2021-11-04,18,10,2.2,3,ligeras precipitaciones,medellã­n
2022-11-05,18,9,0.9,6,ligeras precipitaciones,medellã­n
2021-11-05,23,10,4.1,5,ligeras precipitaciones,medellã­n
2021-11-06,20,10,1.1,4,lluvia moderada a intervalos,medellã­n
2022-11-07,19,9,4.6,4,ligeras precipitaciones,medellã­n
2021-11-07,20,8,2.5,4,ligeras precipitaciones,medellã­n
2022-11-08,19,10,7.2,2,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2021-11-08,17,9,3.9,2,ligeras precipitaciones,medellã­n
2024-11-09,20,10,7.9,5,ligeras precipitaciones,medellã­n
2022-11-09,17,10,6.5,2,ligeras precipitaciones,medellã­n
2021-11-09,21,9,3.8,2,ligeras precipitaciones,medellã­n
2022-11-10,19,14,4.7,3,ligeras precipitaciones,medellã­n
2021-11-10,22,15,5.9,4,ligeras precipitaciones,medellã­n
